Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude,Codes,Continent,Date
Brazil,State of Minas Gerais,1419,0,54,-18.526484399999998,-44.158865399999996,BRA,South America,26-04-2020
Brazil,State of Espírito Santo,1381,0,42,-19.5687682,-40.1721991,BRA,South America,26-04-2020
Brazil,State of Santa Catarina,1170,0,42,-27.0628367,-51.11496500000001,BRA,South America,26-04-2020
Brazil,State of Paraná,1119,0,64,-24.4842187,-51.8148872,BRA,South America,26-04-2020
Brazil,State of Rio Grande do Sul,1061,0,31,-29.8425284,-53.76805770000001,BRA,South America,26-04-2020
Brazil,Federal District,989,0,26,-15.7754462,-47.7970891,BRA,South America,26-04-2020
Brazil,State of Rio Grande do Norte,754,0,38,-5.6781175,-36.4781776,BRA,South America,26-04-2020
Brazil,State of Amapá,633,0,18,1.3545441999999999,-51.9161977,BRA,South America,26-04-2020
Brazil,State of Goiás,486,0,24,-15.932366199999999,-50.13929279999999,BRA,South America,26-04-2020
Brazil,State of Alagoas,413,0,27,-9.661166099999999,-36.65024260000001,BRA,South America,26-04-2020
Brazil,State of Paraíba,386,0,44,-7.1219366,-36.724684499999995,BRA,South America,26-04-2020
Brazil,State of Roraima,304,0,3,2.135138,-61.3631922,BRA,South America,26-04-2020
Brazil,State of Rondônia,290,0,5,-10.943145,-62.8277863,BRA,South America,26-04-2020
Brazil,State of Piauí,256,0,16,-7.699278200000001,-42.504378700000004,BRA,South America,26-04-2020
Brazil,State of Mato Grosso,240,0,8,-12.2115009,-55.5716547,BRA,South America,26-04-2020
Brazil,State of Acre,234,0,11,-9.0478679,-70.52649759999998,BRA,South America,26-04-2020
Brazil,State of Mato Grosso do Sul,213,0,7,-19.5852564,-54.4794731,BRA,South America,26-04-2020
Brazil,State of Sergipe,144,0,8,-10.6743911,-37.377351899999994,BRA,South America,26-04-2020
Brazil,State of Tocantins,43,0,2,-10.8855129,-48.3716912,BRA,South America,26-04-2020
Cambodia,Sihanoukville,40,0,0,10.5045515,103.25784114285528,KHM,Asia,26-04-2020
Cambodia,Phnom Penh,28,0,0,11.568271000000001,104.9224426,KHM,Asia,26-04-2020
Cambodia,Kampong Cham Province,16,0,0,11.9921855,105.4628346,KHM,Asia,26-04-2020
Cambodia,Battambang Province,8,0,0,13.0998526,103.19666590000001,KHM,Asia,26-04-2020
Cambodia,Siem Reap Province,7,0,0,13.355487,103.8608382,KHM,Asia,26-04-2020
Cambodia,Banteay Meanchey Province,4,0,0,13.589396100000002,102.9723093,KHM,Asia,26-04-2020
Cambodia,Kep Province,4,0,0,10.4827998,104.3113349,KHM,Asia,26-04-2020
Cambodia,Tbong Khmum Province,4,0,0,11.8914565,105.7756828,KHM,Asia,26-04-2020
Cambodia,Kampong Chhnang Province,3,0,0,12.2536026,104.66583890000001,KHM,Asia,26-04-2020
Cambodia,Kampot Province,2,0,0,10.6183061,104.1797339,KHM,Asia,26-04-2020
Cambodia,Kandal Province,2,0,0,10.9986692,106.1691459,KHM,Asia,26-04-2020
Cambodia,Koh Kong Province,2,0,0,11.456030199999999,103.122046,KHM,Asia,26-04-2020
Cambodia,Preah Vihear Province,2,0,0,13.65115365,105.25819111658414,KHM,Asia,26-04-2020
Canada,Quebec,22616,4724,1340,52.4760892,-71.8258668,CAN,North America,26-04-2020
Canada,Ontario,13519,7087,763,50.000678,-86.000977,CAN,North America,26-04-2020
Canada,Alberta,4017,1397,72,55.001251,-115.00213600000001,CAN,North America,26-04-2020
Canada,British Columbia,1853,1114,98,55.001251,-125.00244099999999,CAN,North America,26-04-2020
Canada,Nova Scotia,850,392,16,45.1960403,-63.1653789,CAN,North America,26-04-2020
Canada,Saskatchewan,341,280,4,55.5321257,-106.1412243,CAN,North America,26-04-2020
Canada,Manitoba,264,196,6,55.001251,-97.001038,CAN,North America,26-04-2020
Canada,Newfoundland and Labrador,256,207,3,53.82173270000001,-61.2295532,CAN,North America,26-04-2020
Canada,New Brunswick,118,107,0,46.500283,-66.75018299999999,CAN,North America,26-04-2020
Canada,Prince Edward Island,26,24,0,46.50354535,-63.59551713991449,CAN,North America,26-04-2020
Canada,Yukon,11,8,0,63.000147,-136.002502,CAN,North America,26-04-2020
Canada,Northwest Territories,5,5,0,65.00000039999999,-118.0,CAN,North America,26-04-2020
Canada,Nunavut,0,0,0,70.0000073,-90.0,CAN,North America,26-04-2020
Chile,Santiago Metropolitan Region,6761,0,86,-33.5739341,-70.62055179999999,CHL,South America,26-04-2020
Chile,Araucania,1184,0,26,-38.67101160000001,-72.25645759999998,CHL,South America,26-04-2020
Chile,Ñuble,715,0,14,-36.63315770000001,-71.9384821,CHL,South America,26-04-2020
Chile,Bio Bio,683,0,5,-37.3391407,-72.4106825,CHL,South America,26-04-2020
Chile,Magallanes and Chilean Antarctica,624,0,8,-53.35275179999999,-71.5547782,CHL,South America,26-04-2020
Chile,Los Lagos,460,0,8,-42.300844,-73.105387,CHL,South America,26-04-2020
Chile,Valparaíso,436,0,8,-33.0458456,-71.6196749,CHL,South America,26-04-2020
Chile,Antofagasta,366,0,2,-23.6041314,-69.0842783,CHL,South America,26-04-2020
Chile,Maule,349,0,10,-35.5972284,-71.48868,CHL,South America,26-04-2020
Chile,Arica y Parinacota,239,0,3,-18.5918514,-69.75860829999999,CHL,South America,26-04-2020
Chile,Los Ríos,174,0,3,-39.9742911,-72.667478,CHL,South America,26-04-2020
Chile,Tarapacá,134,0,0,-20.1636672,-69.5463448,CHL,South America,26-04-2020
Chile,O'Higgins,81,0,1,-48.47302585,-72.84749314466745,CHL,South America,26-04-2020
Chile,Coquimbo,72,0,0,-30.7546652,-70.9005536,CHL,South America,26-04-2020
Chile,Atacama,21,0,0,-27.5571783,-70.0156882,CHL,South America,26-04-2020
Chile,Aysén,7,0,0,-46.143462899999996,-74.36488694169806,CHL,South America,26-04-2020
China,Hubei,67803,64014,3212,31.15172525,112.87832224656044,CHN,Asia,26-04-2020
